,PSA-HM1-BAYTB-hist.txt,PSA-HM1-BAYTC-hist.txt,PSA-HM1-BAYTG-hist.txt,PSA-HM1-BAYTH-hist.txt,PSA-HP1-BAYTB-hist.txt,PSA-HP1-BAYTC-hist.txt,PSA-HP1-BAYTG-hist.txt,PSA-HP1-BAYTH-hist.txt,PSA-HS2-BAYTB-hist.txt,PSA-HS2-BAYTC-hist.txt,PSA-HS2-BAYTG-hist.txt,PSA-HS2-BAYTH-hist.txt,alpha3-BAYTB-hist.txt,alpha3-BAYTC-hist.txt,alpha3-BAYTG-hist.txt,alpha3-BAYTH-hist.txt,phix-BAYTB-hist.txt,phix-BAYTC-hist.txt,phix-BAYTG-hist.txt,phix-BAYTH-hist.txt
206,7573.0,4956.0,7608.0,7419.0,533.0,315.0,427.0,437.0,1764.0,998.0,1379.0,1265.0,,2.0,,6.0,8.0,20.0,14.0,50.0
207,7574.0,5063.0,7745.0,7607.0,501.0,320.0,465.0,412.0,1774.0,1054.0,1468.0,1275.0,,1.0,1.0,13.0,13.0,21.0,13.0,55.0
208,7921.0,4991.0,7888.0,7392.0,534.0,302.0,418.0,432.0,1825.0,1107.0,1455.0,1351.0,,3.0,,7.0,14.0,15.0,13.0,54.0
209,8221.0,5131.0,7971.0,7586.0,543.0,316.0,480.0,401.0,1917.0,1057.0,1522.0,1328.0,,,,8.0,9.0,14.0,11.0,52.0
210,8494.0,4999.0,8195.0,7570.0,521.0,292.0,426.0,415.0,1850.0,1110.0,1585.0,1284.0,,2.0,,6.0,16.0,17.0,5.0,55.0
211,8462.0,5202.0,8594.0,7810.0,587.0,354.0,472.0,430.0,1974.0,1076.0,1553.0,1262.0,1.0,4.0,1.0,5.0,17.0,18.0,19.0,47.0
212,8676.0,5158.0,8738.0,7984.0,630.0,320.0,465.0,426.0,1991.0,1130.0,1644.0,1324.0,,3.0,,3.0,13.0,23.0,19.0,47.0
213,8909.0,5218.0,8728.0,7741.0,638.0,337.0,498.0,427.0,2078.0,1105.0,1682.0,1391.0,1.0,1.0,,7.0,18.0,19.0,19.0,58.0
214,8976.0,5200.0,8911.0,7836.0,630.0,307.0,496.0,443.0,2128.0,1099.0,1668.0,1385.0,1.0,1.0,,8.0,9.0,18.0,16.0,59.0
215,9511.0,5126.0,9226.0,8193.0,607.0,338.0,524.0,393.0,2077.0,1126.0,1718.0,1491.0,,3.0,,8.0,10.0,24.0,18.0,60.0
216,9553.0,5358.0,9451.0,8035.0,658.0,319.0,522.0,461.0,2314.0,1078.0,1749.0,1336.0,,1.0,1.0,4.0,11.0,12.0,24.0,58.0
217,9896.0,5396.0,9363.0,8089.0,653.0,340.0,562.0,434.0,2192.0,1153.0,1713.0,1456.0,,3.0,1.0,14.0,11.0,13.0,12.0,59.0
218,9836.0,5290.0,9586.0,8215.0,688.0,323.0,538.0,467.0,2357.0,1168.0,1781.0,1373.0,,3.0,1.0,10.0,17.0,16.0,16.0,71.0
219,10303.0,5514.0,10045.0,8220.0,700.0,312.0,533.0,459.0,2388.0,1120.0,1884.0,1453.0,1.0,3.0,,8.0,7.0,25.0,15.0,54.0
220,10417.0,5380.0,10021.0,8360.0,741.0,338.0,586.0,446.0,2287.0,1267.0,1856.0,1380.0,1.0,2.0,1.0,9.0,17.0,14.0,7.0,59.0
221,10864.0,5481.0,10104.0,8312.0,726.0,353.0,624.0,424.0,2437.0,1160.0,1861.0,1423.0,,5.0,,10.0,15.0,21.0,9.0,58.0
222,10891.0,5654.0,10400.0,8307.0,768.0,385.0,613.0,490.0,2519.0,1124.0,1993.0,1387.0,1.0,3.0,,4.0,13.0,13.0,13.0,58.0
223,11113.0,5431.0,10309.0,8515.0,777.0,318.0,597.0,402.0,2488.0,1219.0,1984.0,1533.0,2.0,8.0,,5.0,15.0,20.0,14.0,40.0
224,11534.0,5500.0,10625.0,8481.0,769.0,362.0,623.0,460.0,2649.0,1120.0,1942.0,1405.0,,,1.0,8.0,17.0,16.0,14.0,66.0
225,11520.0,5644.0,10868.0,8492.0,822.0,355.0,640.0,449.0,2702.0,1178.0,2092.0,1465.0,1.0,2.0,,7.0,10.0,16.0,14.0,77.0
226,11673.0,5623.0,10993.0,8821.0,787.0,283.0,662.0,442.0,2749.0,1142.0,2052.0,1417.0,1.0,3.0,1.0,3.0,11.0,17.0,17.0,41.0
227,11935.0,5570.0,11151.0,8715.0,824.0,327.0,641.0,500.0,2679.0,1218.0,2040.0,1495.0,1.0,,,4.0,9.0,13.0,15.0,56.0
228,12095.0,5773.0,11561.0,8879.0,850.0,320.0,654.0,442.0,2884.0,1166.0,2137.0,1434.0,,,,4.0,14.0,20.0,11.0,47.0
229,12325.0,5624.0,11523.0,8905.0,895.0,341.0,637.0,460.0,2975.0,1226.0,2109.0,1514.0,1.0,2.0,1.0,6.0,12.0,13.0,15.0,49.0
230,12380.0,5739.0,11672.0,8829.0,853.0,357.0,641.0,505.0,2842.0,1203.0,2191.0,1550.0,1.0,3.0,,3.0,15.0,20.0,14.0,34.0
231,12951.0,5714.0,11831.0,9133.0,884.0,373.0,694.0,468.0,2872.0,1124.0,2167.0,1451.0,,2.0,1.0,12.0,13.0,13.0,11.0,51.0
232,12816.0,5694.0,11708.0,9118.0,862.0,353.0,685.0,475.0,2973.0,1207.0,2297.0,1510.0,2.0,5.0,,5.0,15.0,17.0,18.0,61.0
233,12922.0,5778.0,12115.0,8856.0,897.0,389.0,735.0,529.0,3034.0,1230.0,2271.0,1529.0,,1.0,1.0,7.0,8.0,10.0,12.0,57.0
234,13157.0,5823.0,12196.0,8937.0,935.0,369.0,756.0,538.0,3030.0,1213.0,2256.0,1560.0,,3.0,2.0,4.0,14.0,22.0,12.0,51.0
235,13251.0,5715.0,12371.0,9015.0,965.0,346.0,676.0,502.0,3162.0,1239.0,2311.0,1516.0,1.0,1.0,,11.0,13.0,17.0,18.0,59.0
236,13528.0,5851.0,12335.0,9223.0,962.0,357.0,712.0,480.0,3066.0,1252.0,2369.0,1474.0,,3.0,,6.0,14.0,18.0,13.0,44.0
237,13651.0,5751.0,12526.0,9024.0,986.0,356.0,733.0,496.0,3125.0,1256.0,2343.0,1504.0,,2.0,1.0,4.0,15.0,18.0,16.0,38.0
238,13880.0,5782.0,12733.0,9293.0,995.0,371.0,747.0,549.0,3226.0,1256.0,2433.0,1531.0,1.0,4.0,1.0,8.0,15.0,14.0,15.0,46.0
239,14122.0,5737.0,12543.0,8886.0,1035.0,401.0,791.0,547.0,3344.0,1201.0,2537.0,1532.0,,1.0,1.0,5.0,10.0,20.0,13.0,61.0
240,14379.0,5723.0,12958.0,9199.0,988.0,400.0,801.0,517.0,3412.0,1181.0,2438.0,1584.0,,3.0,,5.0,17.0,8.0,12.0,38.0
241,14402.0,5704.0,13030.0,9302.0,1043.0,382.0,737.0,560.0,3360.0,1229.0,2503.0,1522.0,,2.0,1.0,6.0,8.0,21.0,21.0,60.0
242,14472.0,5891.0,13027.0,9045.0,989.0,359.0,787.0,487.0,3409.0,1286.0,2555.0,1556.0,,1.0,,6.0,11.0,21.0,13.0,54.0
243,14624.0,5827.0,13233.0,9443.0,1043.0,361.0,777.0,482.0,3383.0,1234.0,2476.0,1591.0,,1.0,1.0,6.0,12.0,18.0,14.0,41.0
244,15106.0,5967.0,13229.0,9166.0,988.0,369.0,798.0,506.0,3418.0,1172.0,2480.0,1604.0,,,,12.0,19.0,14.0,11.0,55.0
245,15098.0,5890.0,13403.0,9251.0,1051.0,385.0,842.0,527.0,3412.0,1172.0,2599.0,1553.0,,2.0,1.0,6.0,9.0,15.0,13.0,45.0
246,14927.0,5791.0,13402.0,9354.0,1030.0,372.0,727.0,526.0,3603.0,1259.0,2521.0,1614.0,1.0,,,4.0,13.0,21.0,14.0,86.0
247,15072.0,5864.0,13528.0,9353.0,1116.0,378.0,796.0,601.0,3497.0,1238.0,2492.0,1555.0,1.0,4.0,,5.0,13.0,16.0,14.0,49.0
248,15320.0,6017.0,13855.0,9095.0,1083.0,393.0,795.0,543.0,3504.0,1280.0,2542.0,1657.0,,2.0,,7.0,11.0,14.0,20.0,48.0
249,15555.0,5784.0,14101.0,9342.0,1078.0,309.0,861.0,556.0,3591.0,1229.0,2580.0,1562.0,,4.0,,5.0,16.0,16.0,12.0,53.0
250,15295.0,5861.0,13574.0,9358.0,1120.0,357.0,785.0,468.0,3574.0,1304.0,2524.0,1586.0,,3.0,,3.0,16.0,12.0,13.0,52.0
251,15530.0,5959.0,13894.0,9297.0,1148.0,382.0,820.0,473.0,3696.0,1231.0,2576.0,1543.0,,,,6.0,9.0,11.0,13.0,50.0
252,15787.0,5944.0,14078.0,9495.0,1085.0,447.0,852.0,549.0,3597.0,1273.0,2556.0,1577.0,,1.0,1.0,4.0,10.0,25.0,16.0,44.0
253,15731.0,5727.0,13828.0,9262.0,1131.0,382.0,883.0,567.0,3661.0,1236.0,2576.0,1600.0,1.0,4.0,,4.0,10.0,20.0,25.0,46.0
254,15745.0,5980.0,13914.0,9415.0,1111.0,383.0,805.0,460.0,3702.0,1321.0,2677.0,1551.0,,5.0,,6.0,9.0,16.0,14.0,41.0
255,15854.0,5840.0,13933.0,9337.0,1162.0,376.0,834.0,540.0,3826.0,1293.0,2629.0,1626.0,,,,4.0,6.0,15.0,14.0,70.0
256,15670.0,5847.0,13846.0,9243.0,1136.0,396.0,752.0,506.0,3873.0,1237.0,2580.0,1623.0,,2.0,,9.0,10.0,14.0,17.0,54.0
257,15713.0,5942.0,14027.0,9216.0,1136.0,389.0,805.0,505.0,3653.0,1233.0,2689.0,1613.0,,1.0,,6.0,17.0,12.0,12.0,39.0
258,16112.0,5986.0,13800.0,9498.0,1140.0,365.0,839.0,505.0,3725.0,1300.0,2660.0,1579.0,,1.0,1.0,5.0,15.0,18.0,14.0,53.0
259,16022.0,5829.0,13980.0,9373.0,1193.0,395.0,856.0,535.0,3803.0,1214.0,2630.0,1617.0,1.0,1.0,1.0,8.0,12.0,15.0,6.0,37.0
260,16172.0,5971.0,14148.0,9379.0,1160.0,358.0,852.0,519.0,3703.0,1219.0,2704.0,1610.0,1.0,1.0,,3.0,16.0,12.0,19.0,61.0
261,16071.0,5886.0,14010.0,9393.0,1128.0,378.0,854.0,523.0,3723.0,1296.0,2659.0,1479.0,1.0,2.0,,3.0,13.0,20.0,19.0,51.0
262,16017.0,5766.0,14064.0,9321.0,1168.0,362.0,834.0,523.0,3789.0,1288.0,2784.0,1632.0,,1.0,,4.0,13.0,24.0,21.0,44.0
263,16245.0,5820.0,14052.0,9385.0,1223.0,362.0,865.0,537.0,3826.0,1347.0,2652.0,1585.0,,4.0,1.0,14.0,7.0,23.0,15.0,49.0
264,16140.0,5913.0,14167.0,9287.0,1136.0,380.0,850.0,566.0,3775.0,1261.0,2614.0,1502.0,,4.0,1.0,5.0,7.0,18.0,15.0,52.0
265,16339.0,5817.0,14148.0,9189.0,1154.0,416.0,840.0,499.0,3824.0,1186.0,2616.0,1636.0,,,1.0,3.0,7.0,12.0,16.0,49.0
266,16260.0,5892.0,13973.0,9330.0,1145.0,392.0,861.0,517.0,3706.0,1183.0,2560.0,1556.0,1.0,2.0,2.0,4.0,10.0,14.0,15.0,38.0
267,16344.0,6032.0,13880.0,9410.0,1164.0,366.0,878.0,481.0,3734.0,1267.0,2576.0,1629.0,,5.0,1.0,,8.0,15.0,29.0,50.0
268,15939.0,5797.0,13860.0,9245.0,1213.0,386.0,895.0,562.0,3889.0,1245.0,2600.0,1657.0,,,,6.0,14.0,20.0,15.0,41.0
269,16313.0,5911.0,13977.0,9180.0,1158.0,418.0,803.0,543.0,3814.0,1227.0,2633.0,1536.0,,1.0,,2.0,21.0,10.0,26.0,42.0
270,16107.0,5923.0,13896.0,9255.0,1117.0,380.0,851.0,607.0,3801.0,1261.0,2688.0,1583.0,1.0,1.0,1.0,4.0,11.0,13.0,17.0,50.0
271,16320.0,5879.0,13936.0,9109.0,1252.0,357.0,828.0,529.0,3854.0,1159.0,2753.0,1615.0,,1.0,,3.0,9.0,24.0,17.0,50.0
272,16161.0,5978.0,13925.0,9346.0,1196.0,407.0,815.0,546.0,3791.0,1242.0,2625.0,1628.0,,3.0,1.0,7.0,13.0,17.0,9.0,43.0
273,15927.0,5897.0,13733.0,9154.0,1127.0,395.0,849.0,512.0,3695.0,1335.0,2559.0,1539.0,1.0,,,11.0,16.0,15.0,26.0,58.0
274,15920.0,5947.0,13628.0,9119.0,1188.0,364.0,800.0,500.0,3803.0,1215.0,2654.0,1526.0,,5.0,,4.0,15.0,24.0,14.0,50.0
275,15598.0,5786.0,13723.0,9228.0,1158.0,334.0,791.0,531.0,3741.0,1277.0,2640.0,1601.0,1.0,3.0,,7.0,24.0,17.0,14.0,51.0
276,15800.0,5946.0,13610.0,9026.0,1111.0,366.0,797.0,511.0,3775.0,1250.0,2570.0,1648.0,,1.0,,1.0,12.0,23.0,15.0,64.0
277,15803.0,5866.0,13495.0,9009.0,1181.0,368.0,817.0,501.0,3652.0,1205.0,2603.0,1512.0,,,,7.0,8.0,23.0,19.0,55.0
278,15722.0,5878.0,13272.0,9207.0,1181.0,390.0,817.0,561.0,3694.0,1238.0,2590.0,1480.0,,2.0,,5.0,9.0,19.0,16.0,51.0
279,15720.0,5818.0,13467.0,9156.0,1135.0,391.0,819.0,471.0,3688.0,1151.0,2472.0,1602.0,,1.0,,5.0,14.0,25.0,11.0,43.0
280,15652.0,5918.0,13402.0,9160.0,1132.0,373.0,867.0,482.0,3647.0,1247.0,2497.0,1530.0,2.0,1.0,1.0,5.0,20.0,24.0,18.0,53.0
281,15699.0,5707.0,13277.0,9124.0,1151.0,368.0,823.0,512.0,3690.0,1159.0,2576.0,1515.0,,2.0,,8.0,24.0,21.0,14.0,47.0
282,15477.0,5607.0,13230.0,8942.0,1097.0,358.0,801.0,543.0,3627.0,1186.0,2429.0,1511.0,,,2.0,8.0,26.0,18.0,16.0,31.0
283,15305.0,5712.0,13110.0,8978.0,1106.0,420.0,826.0,476.0,3621.0,1124.0,2548.0,1448.0,1.0,2.0,1.0,2.0,14.0,21.0,14.0,65.0
284,15555.0,5766.0,13155.0,8912.0,1147.0,357.0,760.0,501.0,3671.0,1187.0,2604.0,1569.0,1.0,1.0,,3.0,23.0,26.0,14.0,47.0
285,15189.0,5790.0,13069.0,8910.0,1122.0,342.0,810.0,516.0,3553.0,1222.0,2518.0,1451.0,,2.0,,2.0,14.0,22.0,15.0,46.0
286,15340.0,5730.0,12787.0,8882.0,1131.0,366.0,767.0,470.0,3619.0,1251.0,2508.0,1504.0,,,,2.0,25.0,19.0,19.0,54.0
287,15296.0,5851.0,12883.0,8995.0,1077.0,356.0,791.0,447.0,3568.0,1195.0,2479.0,1474.0,2.0,1.0,,3.0,16.0,20.0,20.0,41.0
288,15223.0,5566.0,12677.0,8759.0,1110.0,335.0,832.0,489.0,3630.0,1187.0,2515.0,1470.0,,2.0,,5.0,19.0,33.0,19.0,53.0
289,14947.0,5591.0,12577.0,8997.0,1103.0,375.0,787.0,494.0,3564.0,1161.0,2461.0,1442.0,1.0,1.0,1.0,4.0,27.0,30.0,17.0,49.0
290,15018.0,5666.0,12449.0,8762.0,1084.0,367.0,780.0,477.0,3476.0,1161.0,2386.0,1496.0,,2.0,,5.0,15.0,33.0,11.0,57.0
291,15020.0,5659.0,12363.0,8866.0,1066.0,340.0,753.0,474.0,3458.0,1213.0,2517.0,1498.0,,,,5.0,16.0,20.0,24.0,51.0
292,14901.0,5649.0,12395.0,8743.0,1094.0,345.0,777.0,525.0,3609.0,1188.0,2380.0,1424.0,,4.0,,3.0,20.0,22.0,17.0,61.0
293,14629.0,5622.0,12249.0,8462.0,1152.0,371.0,790.0,529.0,3551.0,1240.0,2452.0,1458.0,,3.0,1.0,4.0,28.0,17.0,24.0,45.0
294,14608.0,5566.0,12350.0,8733.0,1172.0,367.0,764.0,489.0,3541.0,1194.0,2345.0,1520.0,,,1.0,2.0,15.0,30.0,13.0,44.0
295,14292.0,5654.0,12108.0,8608.0,1086.0,367.0,737.0,476.0,3424.0,1180.0,2261.0,1546.0,,6.0,,1.0,18.0,36.0,22.0,55.0
296,14282.0,5610.0,12082.0,8442.0,1121.0,348.0,792.0,496.0,3445.0,1195.0,2276.0,1436.0,1.0,2.0,,10.0,26.0,37.0,19.0,69.0
297,14458.0,5570.0,11877.0,8398.0,1143.0,334.0,732.0,505.0,3400.0,1142.0,2356.0,1395.0,,,,6.0,25.0,33.0,20.0,52.0
298,14307.0,5469.0,11671.0,8636.0,1043.0,348.0,734.0,442.0,3315.0,1176.0,2379.0,1345.0,1.0,,1.0,3.0,25.0,42.0,29.0,50.0
299,13855.0,5528.0,11629.0,8267.0,1084.0,328.0,723.0,464.0,3345.0,1182.0,2203.0,1561.0,,1.0,,3.0,24.0,31.0,35.0,38.0
300,14026.0,5623.0,11653.0,8429.0,1007.0,342.0,737.0,477.0,3271.0,1185.0,2220.0,1400.0,1.0,1.0,,1.0,34.0,26.0,26.0,42.0
301,13832.0,5506.0,11675.0,8464.0,1029.0,335.0,736.0,463.0,3243.0,1090.0,2259.0,1365.0,1.0,,1.0,6.0,26.0,45.0,24.0,63.0
302,13818.0,5330.0,11487.0,8332.0,1036.0,370.0,646.0,475.0,3134.0,1093.0,2193.0,1502.0,,5.0,,2.0,43.0,28.0,36.0,56.0
303,13771.0,5362.0,11319.0,8360.0,994.0,346.0,732.0,501.0,3195.0,1194.0,2312.0,1396.0,1.0,3.0,1.0,4.0,29.0,43.0,39.0,75.0
304,13512.0,5420.0,11392.0,8210.0,1041.0,377.0,701.0,498.0,3263.0,1162.0,2097.0,1353.0,1.0,5.0,,16.0,30.0,44.0,38.0,59.0
305,13279.0,5289.0,11154.0,8125.0,1017.0,360.0,674.0,493.0,3103.0,1207.0,2075.0,1407.0,,,1.0,4.0,48.0,44.0,40.0,71.0
306,13096.0,5415.0,11305.0,8250.0,1037.0,354.0,673.0,483.0,3200.0,1124.0,2165.0,1461.0,1.0,4.0,,4.0,47.0,52.0,50.0,61.0
307,13285.0,5312.0,10977.0,8090.0,917.0,355.0,663.0,488.0,3177.0,1055.0,2161.0,1381.0,,1.0,1.0,4.0,53.0,59.0,53.0,79.0
308,13301.0,5432.0,10948.0,8125.0,977.0,344.0,693.0,386.0,3111.0,1089.0,2072.0,1289.0,,1.0,,5.0,50.0,62.0,49.0,72.0
309,13077.0,5433.0,10788.0,8142.0,952.0,345.0,667.0,459.0,3002.0,1151.0,2074.0,1338.0,,2.0,,6.0,54.0,77.0,57.0,95.0
310,12646.0,5295.0,10644.0,7993.0,919.0,331.0,676.0,505.0,3154.0,1078.0,2079.0,1390.0,1.0,2.0,,3.0,77.0,64.0,61.0,79.0
311,12643.0,5254.0,10515.0,8003.0,973.0,324.0,629.0,473.0,3070.0,1056.0,2061.0,1210.0,1.0,1.0,,7.0,76.0,94.0,71.0,89.0
312,12742.0,5412.0,10454.0,8131.0,973.0,335.0,651.0,476.0,3037.0,1124.0,1968.0,1392.0,1.0,1.0,,5.0,93.0,96.0,92.0,81.0
313,12737.0,5201.0,10286.0,7973.0,985.0,346.0,649.0,439.0,3065.0,1129.0,1966.0,1288.0,,1.0,3.0,9.0,92.0,106.0,98.0,93.0
314,12450.0,5355.0,10119.0,7956.0,904.0,350.0,625.0,439.0,3004.0,1065.0,1987.0,1423.0,,2.0,1.0,5.0,94.0,140.0,119.0,97.0
315,12372.0,5207.0,10346.0,8061.0,914.0,330.0,613.0,471.0,2941.0,1115.0,1999.0,1326.0,,3.0,,8.0,122.0,131.0,126.0,117.0
316,12179.0,5389.0,10140.0,7991.0,938.0,374.0,674.0,448.0,2864.0,1057.0,1946.0,1288.0,,6.0,1.0,7.0,122.0,141.0,111.0,108.0
317,12121.0,5247.0,10008.0,7785.0,861.0,315.0,624.0,431.0,2939.0,1088.0,1943.0,1359.0,2.0,3.0,,2.0,139.0,159.0,150.0,143.0
318,12003.0,5268.0,9786.0,7713.0,893.0,340.0,611.0,425.0,2890.0,1108.0,1889.0,1321.0,1.0,1.0,1.0,7.0,147.0,159.0,171.0,146.0
319,11787.0,5187.0,9721.0,7774.0,864.0,340.0,634.0,415.0,2811.0,1118.0,1793.0,1359.0,2.0,3.0,2.0,9.0,167.0,233.0,179.0,167.0
320,11833.0,5185.0,9616.0,7783.0,885.0,336.0,655.0,449.0,2853.0,1066.0,1754.0,1329.0,1.0,5.0,1.0,6.0,180.0,224.0,208.0,155.0
321,11874.0,5271.0,9617.0,7703.0,876.0,300.0,598.0,477.0,2742.0,1138.0,1822.0,1297.0,2.0,3.0,,4.0,221.0,269.0,210.0,163.0
322,11593.0,5102.0,9551.0,7597.0,822.0,307.0,624.0,394.0,2800.0,1024.0,1827.0,1348.0,1.0,,2.0,3.0,218.0,247.0,224.0,192.0
323,11588.0,5177.0,9475.0,7506.0,930.0,298.0,618.0,439.0,2653.0,1065.0,1830.0,1314.0,1.0,6.0,2.0,1.0,231.0,296.0,267.0,170.0
324,11475.0,5190.0,9320.0,7644.0,856.0,351.0,535.0,399.0,2623.0,1020.0,1861.0,1278.0,,4.0,1.0,5.0,267.0,317.0,255.0,209.0
325,11225.0,5110.0,9197.0,7613.0,768.0,329.0,610.0,409.0,2746.0,1110.0,1792.0,1260.0,1.0,3.0,2.0,2.0,288.0,350.0,243.0,248.0
326,11037.0,5194.0,9294.0,7359.0,828.0,336.0,577.0,417.0,2645.0,1117.0,1771.0,1283.0,,4.0,2.0,2.0,312.0,363.0,333.0,238.0
327,11244.0,4926.0,9032.0,7611.0,806.0,299.0,534.0,452.0,2670.0,1035.0,1758.0,1229.0,4.0,2.0,2.0,1.0,286.0,418.0,347.0,230.0
328,10964.0,5224.0,8969.0,7442.0,695.0,329.0,546.0,447.0,2514.0,1034.0,1780.0,1298.0,2.0,3.0,1.0,4.0,314.0,430.0,329.0,249.0
329,10806.0,4994.0,8950.0,7425.0,817.0,313.0,549.0,422.0,2607.0,1037.0,1727.0,1212.0,3.0,2.0,1.0,4.0,307.0,435.0,339.0,292.0
330,10847.0,4889.0,8852.0,7299.0,793.0,320.0,540.0,426.0,2619.0,982.0,1623.0,1274.0,2.0,2.0,,17.0,343.0,452.0,406.0,291.0
331,10490.0,4928.0,8725.0,7180.0,782.0,308.0,495.0,441.0,2571.0,1037.0,1696.0,1211.0,4.0,7.0,4.0,5.0,389.0,440.0,396.0,290.0
332,10599.0,5062.0,8536.0,7361.0,777.0,309.0,530.0,387.0,2412.0,1103.0,1658.0,1196.0,1.0,3.0,4.0,4.0,400.0,448.0,410.0,299.0
333,10470.0,5016.0,8561.0,7328.0,761.0,322.0,545.0,397.0,2491.0,1054.0,1638.0,1153.0,1.0,13.0,1.0,2.0,389.0,502.0,449.0,309.0
334,10388.0,5048.0,8395.0,7439.0,718.0,305.0,499.0,402.0,2495.0,1027.0,1662.0,1221.0,1.0,3.0,,1.0,415.0,480.0,399.0,322.0
335,10282.0,5107.0,8287.0,7194.0,733.0,337.0,470.0,372.0,2436.0,1041.0,1615.0,1173.0,4.0,2.0,1.0,8.0,423.0,506.0,440.0,318.0
336,10079.0,4968.0,8140.0,7190.0,797.0,333.0,495.0,364.0,2387.0,1050.0,1536.0,1232.0,2.0,5.0,1.0,5.0,423.0,472.0,461.0,316.0
337,9998.0,4787.0,8140.0,6962.0,749.0,327.0,505.0,455.0,2378.0,1004.0,1587.0,1237.0,3.0,2.0,2.0,4.0,435.0,536.0,435.0,344.0
338,9886.0,4826.0,7910.0,7047.0,773.0,317.0,493.0,402.0,2359.0,977.0,1549.0,1184.0,,5.0,1.0,2.0,442.0,520.0,449.0,298.0
339,9742.0,4863.0,7877.0,7061.0,696.0,265.0,475.0,348.0,2300.0,1043.0,1548.0,1233.0,,7.0,1.0,6.0,480.0,512.0,488.0,327.0
340,9551.0,4866.0,7805.0,7138.0,693.0,316.0,505.0,430.0,2244.0,1035.0,1498.0,1232.0,,3.0,1.0,3.0,451.0,515.0,491.0,330.0
341,9676.0,4721.0,7762.0,7032.0,728.0,368.0,482.0,415.0,2400.0,962.0,1559.0,1177.0,2.0,4.0,2.0,7.0,436.0,535.0,443.0,334.0
342,9454.0,4887.0,7715.0,6844.0,710.0,333.0,478.0,401.0,2264.0,957.0,1450.0,1170.0,,,1.0,5.0,431.0,511.0,487.0,345.0
343,9481.0,4768.0,7570.0,6797.0,621.0,271.0,426.0,416.0,2337.0,1053.0,1463.0,1189.0,2.0,3.0,1.0,7.0,458.0,540.0,474.0,327.0
344,9464.0,4761.0,7684.0,6858.0,691.0,316.0,479.0,373.0,2180.0,1014.0,1408.0,1097.0,,2.0,2.0,5.0,445.0,532.0,469.0,312.0
345,9144.0,4662.0,7459.0,6822.0,702.0,320.0,474.0,369.0,2269.0,1042.0,1447.0,1157.0,,1.0,4.0,4.0,445.0,527.0,449.0,332.0
346,9371.0,4696.0,7378.0,6801.0,686.0,258.0,415.0,356.0,2194.0,934.0,1408.0,1162.0,,1.0,,3.0,477.0,545.0,494.0,304.0
347,9062.0,4712.0,7289.0,6698.0,679.0,310.0,458.0,386.0,2200.0,1004.0,1415.0,1178.0,,3.0,2.0,8.0,454.0,547.0,445.0,282.0
348,8872.0,4735.0,7178.0,6775.0,627.0,269.0,450.0,400.0,2128.0,1002.0,1414.0,1185.0,1.0,2.0,1.0,4.0,426.0,510.0,421.0,335.0
349,8865.0,4721.0,7235.0,6635.0,628.0,279.0,366.0,344.0,2151.0,1012.0,1371.0,1080.0,,5.0,1.0,1.0,441.0,517.0,477.0,339.0
350,8726.0,4724.0,7175.0,6749.0,689.0,319.0,449.0,372.0,2043.0,937.0,1352.0,1156.0,1.0,,,,423.0,520.0,436.0,332.0
351,8619.0,4725.0,6975.0,6675.0,629.0,314.0,472.0,384.0,1986.0,1027.0,1407.0,1143.0,,,,2.0,423.0,512.0,436.0,333.0
352,8670.0,4709.0,6863.0,6646.0,625.0,280.0,423.0,407.0,2087.0,1042.0,1348.0,1116.0,,5.0,,,423.0,499.0,444.0,281.0
353,8376.0,4816.0,6668.0,6602.0,606.0,330.0,479.0,373.0,2004.0,901.0,1306.0,1209.0,,1.0,,,429.0,479.0,405.0,324.0
354,8399.0,4713.0,6831.0,6650.0,613.0,343.0,406.0,397.0,1964.0,964.0,1285.0,1026.0,,1.0,,2.0,398.0,494.0,405.0,293.0
355,8177.0,4533.0,6562.0,6382.0,619.0,273.0,402.0,361.0,1996.0,973.0,1309.0,1095.0,,1.0,,1.0,397.0,503.0,434.0,295.0
356,7930.0,4641.0,6473.0,6407.0,602.0,279.0,405.0,358.0,1863.0,944.0,1206.0,1065.0,,1.0,,6.0,430.0,481.0,403.0,319.0
357,8073.0,4638.0,6447.0,6566.0,601.0,324.0,400.0,389.0,1816.0,917.0,1196.0,1079.0,,1.0,,1.0,411.0,516.0,413.0,302.0
358,8041.0,4572.0,6405.0,6416.0,611.0,267.0,366.0,345.0,1891.0,949.0,1241.0,1091.0,,,,2.0,435.0,446.0,442.0,294.0
359,7895.0,4513.0,6472.0,6470.0,565.0,267.0,409.0,361.0,1933.0,920.0,1231.0,1143.0,,2.0,,6.0,390.0,449.0,397.0,288.0
360,8044.0,4644.0,6341.0,6572.0,619.0,291.0,378.0,361.0,1824.0,899.0,1200.0,1099.0,,2.0,,3.0,355.0,435.0,369.0,286.0
361,7705.0,4569.0,6286.0,6289.0,605.0,317.0,373.0,335.0,1879.0,911.0,1219.0,1016.0,1.0,,,2.0,379.0,451.0,403.0,285.0
362,7585.0,4555.0,6089.0,6367.0,535.0,290.0,389.0,332.0,1846.0,935.0,1158.0,1026.0,,1.0,1.0,2.0,385.0,472.0,414.0,288.0
