,PSA-HM1-BAYTB-hist.txt,PSA-HM1-BAYTC-hist.txt,PSA-HM1-BAYTG-hist.txt,PSA-HM1-BAYTH-hist.txt,PSA-HP1-BAYTB-hist.txt,PSA-HP1-BAYTC-hist.txt,PSA-HP1-BAYTG-hist.txt,PSA-HP1-BAYTH-hist.txt,PSA-HS2-BAYTB-hist.txt,PSA-HS2-BAYTC-hist.txt,PSA-HS2-BAYTG-hist.txt,PSA-HS2-BAYTH-hist.txt,alpha3-BAYTB-hist.txt,alpha3-BAYTC-hist.txt,alpha3-BAYTG-hist.txt,alpha3-BAYTH-hist.txt,phix-BAYTB-hist.txt,phix-BAYTC-hist.txt,phix-BAYTG-hist.txt,phix-BAYTH-hist.txt
76,3.0,19.0,6.0,45.0,,,,,,1.0,,7.0,,,,,1.0,,1.0,
77,6.0,29.0,7.0,22.0,1.0,2.0,1.0,,,5.0,2.0,3.0,,,,,,,,
78,5.0,18.0,10.0,33.0,2.0,1.0,2.0,3.0,2.0,5.0,5.0,2.0,,,,,,,,
79,4.0,22.0,6.0,24.0,,1.0,,2.0,3.0,3.0,2.0,5.0,,,,,,,,1.0
80,9.0,19.0,13.0,28.0,,2.0,1.0,2.0,,5.0,1.0,8.0,,,,,,,,
81,6.0,23.0,19.0,35.0,1.0,1.0,,,,,1.0,3.0,,,,,,1.0,2.0,
82,8.0,27.0,4.0,25.0,,2.0,,5.0,,2.0,1.0,1.0,,,,,,,,
83,7.0,20.0,9.0,27.0,4.0,1.0,1.0,4.0,,3.0,3.0,3.0,,,,,,,,
84,12.0,19.0,12.0,28.0,,3.0,1.0,2.0,1.0,3.0,4.0,4.0,,,,,1.0,,1.0,
85,8.0,31.0,9.0,31.0,,,,1.0,2.0,3.0,2.0,8.0,,,,,,,,1.0
86,10.0,21.0,12.0,34.0,,1.0,1.0,1.0,4.0,6.0,3.0,3.0,,,,1.0,,,,
87,5.0,24.0,6.0,39.0,,2.0,1.0,3.0,2.0,2.0,1.0,9.0,,,,,1.0,2.0,,2.0
88,6.0,27.0,8.0,35.0,,3.0,1.0,5.0,1.0,5.0,,6.0,,,,,,,,1.0
89,5.0,27.0,11.0,42.0,3.0,5.0,,1.0,2.0,2.0,2.0,6.0,,,,,,1.0,,1.0
90,5.0,24.0,18.0,34.0,,1.0,1.0,1.0,3.0,3.0,,2.0,,,,,1.0,1.0,,
91,16.0,23.0,7.0,27.0,2.0,,1.0,2.0,4.0,10.0,,3.0,,,,,1.0,2.0,2.0,1.0
92,9.0,35.0,15.0,33.0,,3.0,,2.0,1.0,1.0,1.0,2.0,,,,,1.0,,,1.0
93,6.0,28.0,14.0,56.0,,1.0,1.0,3.0,3.0,6.0,1.0,8.0,,,,,,1.0,,
94,7.0,26.0,14.0,36.0,1.0,2.0,,3.0,,5.0,4.0,7.0,,,,,,1.0,1.0,
95,12.0,31.0,17.0,36.0,,1.0,1.0,2.0,1.0,8.0,5.0,6.0,,,,,,,1.0,2.0
96,4.0,28.0,18.0,43.0,,1.0,,3.0,,4.0,,2.0,,,,,,,,1.0
97,8.0,18.0,12.0,40.0,1.0,4.0,,6.0,,3.0,,7.0,,,,,,,,
98,15.0,40.0,14.0,36.0,,3.0,,1.0,2.0,8.0,2.0,3.0,,,,,1.0,3.0,,
99,11.0,29.0,8.0,39.0,,3.0,2.0,1.0,4.0,4.0,3.0,4.0,,,,,,1.0,,3.0
100,8.0,16.0,5.0,39.0,,1.0,,1.0,1.0,5.0,1.0,5.0,,,,,,1.0,,2.0
101,12.0,33.0,10.0,56.0,,1.0,2.0,2.0,2.0,4.0,1.0,5.0,,,,,1.0,,1.0,1.0
102,10.0,24.0,10.0,51.0,3.0,3.0,2.0,,1.0,5.0,1.0,6.0,,,,,,,1.0,
103,4.0,36.0,13.0,57.0,,5.0,,4.0,3.0,6.0,4.0,11.0,,,,1.0,1.0,1.0,,
104,13.0,39.0,14.0,54.0,,1.0,1.0,2.0,2.0,6.0,4.0,5.0,,,,,1.0,1.0,,1.0
105,9.0,55.0,25.0,60.0,2.0,4.0,,5.0,1.0,4.0,3.0,9.0,,,,,,1.0,1.0,
106,12.0,43.0,16.0,47.0,1.0,5.0,1.0,1.0,2.0,3.0,,6.0,,,,,2.0,,1.0,
107,14.0,58.0,13.0,69.0,,2.0,,4.0,2.0,9.0,4.0,2.0,,,,,,,,
108,9.0,42.0,15.0,69.0,,3.0,,3.0,2.0,3.0,2.0,5.0,,,,,,,,3.0
109,11.0,35.0,18.0,70.0,3.0,4.0,2.0,1.0,1.0,11.0,3.0,5.0,1.0,,,1.0,1.0,,1.0,1.0
110,6.0,37.0,15.0,62.0,,4.0,2.0,3.0,6.0,4.0,,9.0,,,,,,2.0,,
111,11.0,50.0,16.0,46.0,,2.0,1.0,2.0,2.0,6.0,,14.0,,,,,,,1.0,3.0
112,12.0,41.0,18.0,62.0,,1.0,,2.0,4.0,5.0,1.0,9.0,,1.0,,,1.0,1.0,,
113,6.0,28.0,12.0,50.0,2.0,3.0,4.0,6.0,2.0,10.0,2.0,5.0,1.0,,,,,,1.0,1.0
114,13.0,45.0,20.0,60.0,,2.0,1.0,3.0,2.0,12.0,5.0,8.0,,,,,,,1.0,
115,17.0,34.0,13.0,59.0,3.0,,2.0,1.0,3.0,5.0,3.0,5.0,,,,,,1.0,,
116,8.0,43.0,18.0,59.0,,2.0,3.0,3.0,2.0,8.0,3.0,11.0,,,,,1.0,,,1.0
117,12.0,51.0,16.0,84.0,2.0,3.0,2.0,3.0,,9.0,2.0,5.0,,,,,1.0,,,
118,10.0,41.0,22.0,70.0,,2.0,4.0,10.0,7.0,11.0,2.0,12.0,,,,,,1.0,,
119,18.0,43.0,24.0,63.0,2.0,3.0,,1.0,1.0,5.0,5.0,10.0,,,,1.0,1.0,1.0,1.0,1.0
120,16.0,62.0,23.0,74.0,2.0,3.0,,1.0,1.0,8.0,2.0,15.0,,,,,1.0,,3.0,
121,16.0,58.0,26.0,67.0,1.0,4.0,1.0,2.0,9.0,4.0,,13.0,,,,,,2.0,1.0,3.0
122,15.0,64.0,19.0,90.0,1.0,5.0,1.0,6.0,7.0,11.0,1.0,10.0,,,,,1.0,3.0,3.0,2.0
123,24.0,63.0,27.0,105.0,4.0,7.0,1.0,9.0,4.0,6.0,3.0,13.0,,,,,,2.0,,
124,15.0,65.0,24.0,132.0,2.0,1.0,3.0,8.0,3.0,10.0,,21.0,,,,,2.0,,,1.0
125,20.0,79.0,31.0,120.0,1.0,3.0,2.0,7.0,6.0,14.0,7.0,22.0,,1.0,,1.0,2.0,1.0,,1.0
126,22.0,101.0,39.0,150.0,2.0,6.0,3.0,8.0,9.0,26.0,10.0,25.0,,,,,2.0,1.0,2.0,1.0
127,22.0,106.0,69.0,214.0,,7.0,1.0,3.0,10.0,17.0,9.0,21.0,1.0,,,,3.0,2.0,4.0,3.0
128,38.0,170.0,89.0,203.0,5.0,14.0,4.0,13.0,9.0,27.0,7.0,32.0,,,,,4.0,4.0,1.0,2.0
129,48.0,195.0,83.0,265.0,1.0,11.0,3.0,9.0,8.0,39.0,16.0,43.0,,,,,2.0,5.0,3.0,4.0
130,61.0,183.0,92.0,275.0,5.0,7.0,7.0,13.0,16.0,34.0,14.0,45.0,,,,,2.0,8.0,4.0,6.0
131,55.0,249.0,105.0,350.0,7.0,14.0,3.0,17.0,14.0,54.0,19.0,67.0,,,,,4.0,5.0,6.0,6.0
132,79.0,257.0,124.0,419.0,4.0,9.0,4.0,15.0,14.0,59.0,16.0,67.0,,,,,6.0,8.0,1.0,7.0
133,98.0,281.0,141.0,466.0,5.0,19.0,6.0,17.0,29.0,73.0,21.0,94.0,,,,,6.0,6.0,4.0,5.0
134,104.0,414.0,158.0,514.0,8.0,24.0,5.0,33.0,17.0,69.0,36.0,81.0,,,,,7.0,11.0,6.0,12.0
135,108.0,414.0,177.0,558.0,10.0,24.0,4.0,28.0,22.0,79.0,27.0,125.0,,,,,8.0,8.0,3.0,5.0
136,138.0,416.0,200.0,636.0,16.0,22.0,8.0,30.0,36.0,82.0,39.0,114.0,,,,,9.0,11.0,8.0,5.0
137,146.0,533.0,215.0,722.0,5.0,26.0,11.0,41.0,30.0,108.0,31.0,117.0,,1.0,,,6.0,8.0,9.0,10.0
138,192.0,539.0,234.0,797.0,5.0,21.0,10.0,37.0,35.0,97.0,35.0,137.0,,,,,9.0,11.0,8.0,13.0
139,202.0,616.0,283.0,895.0,12.0,30.0,14.0,49.0,46.0,141.0,60.0,123.0,2.0,1.0,,,7.0,10.0,6.0,10.0
140,221.0,723.0,313.0,975.0,12.0,45.0,16.0,60.0,46.0,174.0,65.0,151.0,1.0,,,3.0,9.0,13.0,12.0,18.0
141,237.0,750.0,344.0,1076.0,20.0,59.0,15.0,50.0,55.0,141.0,61.0,193.0,,2.0,1.0,2.0,11.0,7.0,15.0,17.0
142,257.0,802.0,377.0,1197.0,17.0,59.0,24.0,53.0,55.0,199.0,71.0,212.0,,2.0,,2.0,11.0,9.0,10.0,13.0
143,345.0,1026.0,457.0,1450.0,15.0,56.0,21.0,59.0,86.0,224.0,91.0,258.0,,,1.0,,13.0,20.0,14.0,17.0
144,396.0,1112.0,546.0,1560.0,15.0,60.0,25.0,81.0,82.0,212.0,106.0,289.0,,,,,11.0,15.0,12.0,14.0
145,440.0,1157.0,641.0,1813.0,19.0,66.0,23.0,71.0,94.0,241.0,107.0,312.0,,1.0,1.0,3.0,11.0,9.0,13.0,23.0
146,458.0,1189.0,618.0,1765.0,32.0,77.0,37.0,94.0,103.0,295.0,125.0,299.0,1.0,,1.0,,12.0,16.0,17.0,24.0
147,455.0,1362.0,649.0,1898.0,30.0,82.0,34.0,78.0,107.0,296.0,113.0,322.0,1.0,,1.0,2.0,8.0,17.0,17.0,27.0
148,538.0,1510.0,735.0,2042.0,33.0,75.0,43.0,117.0,121.0,338.0,121.0,354.0,,2.0,,2.0,13.0,17.0,5.0,14.0
149,589.0,1610.0,860.0,2314.0,35.0,85.0,47.0,111.0,143.0,369.0,160.0,417.0,,2.0,2.0,,16.0,18.0,19.0,33.0
